Year,uspop,
1900,"76,094,000",
1901,"77,584,000",
1902,"79,163,000",
1903,"80,632,000",
1904,"82,166,000",
1905,"83,822,000",
1906,"85,450,000",
1907,"87,008,000",
1908,"88,710,000",
1909,"90,490,000",
1910,"92,407,000",
1911,"93,863,000",
1912,"95,335,000",
1913,"97,225,000",
1914,"99,111,000",
1915,"100,546,000",
1916,"101,961,000",
1917,"103,268,000",
1918,"103,208,000",
1919,"104,514,000",
1920,"106,461,000",
1921,"108,538,000",
1922,"110,049,000",
1923,"111,947,000",
1924,"114,109,000",
1925,"115,829,000",
1926,"117,397,000",
1927,"119,035,000",
1928,"120,509,000",
1929,"121,767,000",
1930,"123,076,741",
1931,"124,039,648",
1932,"124,840,471",
1933,"125,578,763",
1934,"126,373,773",
1935,"127,250,232",
1936,"128,053,180",
1937,"128,824,829",
1938,"129,824,939",
1939,"130,879,718",
1940,"132,122,446",
1941,"133,402,471",
1942,"134,859,553",
1943,"136,739,353",
1944,"138,397,345",
1945,"139,928,165",
1946,"141,388,566",
1947,"144,126,071",
1948,"146,631,302",
1949,"149,188,130",
1950,"152,271,417",
1951,"154,877,889",
1952,"157,552,740",
1953,"160,184,192",
1954,"163,025,854",
1955,"165,931,202",
1956,"168,903,031",
1957,"171,984,130",
1958,"174,881,904",
1959,"177,829,628",
1960,"180,671,158",
1961,"183,691,481",
1962,"186,537,737",
1963,"189,241,798",
1964,"191,888,791",
1965,"194,302,963",
1966,"196,560,338",
1967,"198,712,056",
1968,"200,706,052",
1969,"202,676,946",
1970,"205,052,174",
1971,"207,660,677",
1972,"209,896,021",
1973,"211,908,788",
1974,"213,853,928",
1975,"215,973,199",
1976,"218,035,164",
1977,"220,239,425",
1978,"222,584,545",
1979,"225,055,487",
1980,"227,224,681",
1981,"229,465,714",
1982,"231,664,458",
1983,"233,791,994",
1984,"235,824,902",-
1985,"237,923,795",
1986,"240,132,887",
1987,"242,288,918",
1988,"244,498,982",
1989,"246,819,230",
1990,"249,464,396",
1991,"252,153,092",
1992,"255,029,699",
1993,"257,782,608",
1994,"260,327,021",
1995,"262,803,276",
1996,"265,228,572",
1997,"267,783,607",
1998,"270,248,003",
1999,"272,690,813",
2000,"282,162,411",
2001,"284,968,955",
2002,"287,625,193",
2003,"290,107,933",
2004,"292,805,298",
2005,"295,516,599",
2006,"298,379,912",
2007,"301,231,207",
2008,"304,093,966",
2009,"306,771,529",
2010,"309,326,295",
2011,"311,582,564",
2012,"313,873,685",
2013,"316,128,839",